artifact_label,artifact_path,column_name,normalized_column,non_null_share,unique_values,leakage_risk_role,required_handling,guardrail
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_path_family,target_path_family,1.0,4,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_outcome_group,target_outcome_group,0.4986333333333333,2,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_coupling_class,target_coupling_class,0.4986333333333333,2,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_coupled_outcome_group,target_coupled_outcome_group,0.11406666666666666,2,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_recovery_channel_structural,target_recovery_channel_structural,0.1019,2,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_obs072_cp2_locus_false_recovery,target_obs072_cp2_locus_false_recovery,0.0959,1,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_recovery_channel_boundedness_strict,target_recovery_channel_boundedness_strict,0.0308,2,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,corpus,corpus,1.0,2,target_or_regime_identity,retain as outcome/stratification only; exclude from predictive carriers,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_path_family,target_path_family,1.0,4,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_outcome_group,target_outcome_group,0.5166333333333334,2,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_coupling_class,target_coupling_class,0.5166333333333334,2,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_coupled_outcome_group,target_coupled_outcome_group,0.17216666666666666,2,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_recovery_channel_structural,target_recovery_channel_structural,0.16386666666666666,2,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,target_obs072_cp2_locus_false_recovery,target_obs072_cp2_locus_false_recovery,0.15866666666666668,2,potential_identity_or_target_proxy,retain for grouping/matching only unless a specific leakage-safe use is predeclared,presence does not imply leakage; future feature matrices must explicitly exclude/audit it
