artifact_path,authority_score,selection_reasons,selected_canonical,content_identical_to_selected,sha256,resolution_status,source_role
/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_table.csv,85,version_preference;comparison_canonical_preference,True,True,936802c75f758ab3b798d6c669e1cbc04323c2f1f610b5f7f39ad71c5437b6ca,selected,canonical_feature_table
/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_table.csv,90,comparison_canonical_preference,False,False,8143f2e9797d7044897a71b5b391c9445a4e6740746d4d7a18e940d4999b7ca3,alternate_noncanonical,canonical_feature_table
/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_manifest.csv,85,version_preference;comparison_canonical_preference,True,True,94ebfffb360c3d4f65d4ca480e65275ba651fa1b31d8dedf550222f6c58d1fe4,selected,canonical_feature_manifest
/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_manifest.csv,90,comparison_canonical_preference,False,False,c7be240e12fe5ecbea72339764fba053e0f14a6697ee3771311c8d33d1e5f0cf,alternate_noncanonical,canonical_feature_manifest
/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,90,comparison_canonical_preference,True,True,23b151b794a6d50aff9a5febe68c9478a52644974f959db62236d34bac283672,selected,leave_structure_predictions
/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,90,comparison_canonical_preference,True,True,9956be0583256642827694e9694a8ba1f1c97616fc2cc6d132505be90ad823fc,selected,pairwise_predictions
/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,90,comparison_canonical_preference,True,True,b3706215227eeb5b2d000ebeace34ece2a902d46c6ba1fc1841ba3b1986174ad,selected,numeric_transform_predictions
/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,90,comparison_canonical_preference,True,True,daaffddaca8dfe402348b889f627b25b30103fac4c94a7d2298181b4295c590b,selected,scale_band_predictions
/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,90,comparison_canonical_preference,True,True,a09ca38d92a6d63a437e9402035a854190aa767447caee10b7c2a32ab3fe4c9a,selected,feature_contract_predictions
/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080d_structural_resampling_contract_sensitivity/obs080d_bootstrap_summary.csv,90,comparison_canonical_preference,True,True,39762e5b3410d221566898d71eaaafc3601dd15db9e4920060f022e8bd46a6cb,selected,structural_resampling_summary
/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs080d_structural_resampling_contract_sensitivity_smoke/obs080d_bootstrap_summary.csv,150,smoke_run;comparison_canonical_preference,False,False,0c8425614ccb16bfe0280d45eb6af9acd8217e1839c74b93de84a9ae131505a1,alternate_noncanonical,structural_resampling_summary
/Users/rvl/Desktop/LAB/pam-research/outputs/rig_registry/rig_relation_registry.csv,100,default,True,True,211d6270d948503ffda4a866558ca95fec0bc9fe99a5fe201616b842389ae631,selected,registry
/Users/rvl/Desktop/LAB/pam-research/outputs/rig_registry/obs083_negative_control_localization/obs083_diagnostic_subclass_assignments.csv,100,default,True,True,c3fd28c1bbc31dde900cedf9ed6ea3b3f40cddbfb64d642e5521461b5a186701,selected,obs083_subclasses
/Users/rvl/Desktop/LAB/pam-research/outputs/rig_registry/obs083_negative_control_localization/obs083_relation_control_contrast.csv,100,default,True,True,d8362e49c97d1ba8566ab9704b400139e0315c5dd7f6201be891deb8032c70a9,selected,obs083_relation_controls
/Users/rvl/Desktop/LAB/pam-research/outputs/rig_registry/obs083_negative_control_localization/obs083_carrier_control_contrast.csv,100,default,True,True,58f0451b2b321fc4c192464134fb70566404ed4d169e41dee89204d90f5c37c5,selected,obs083_carrier_controls
