address_id,record_id,support_id,relation,carrier,entitlement_status,reliability_target,obs086a_sealed_scenario_cells,operational_family_count,nondominated_family_count,protocol_selected_family_count,protocol_held_family_count,maximum_defensible_stress_test_coverage,minimum_total_nominal_objects_on_frontier,protocol_selected_operational_family_ids_json,protocol_held_operational_family_ids_json,recommendation,recommendation_rationale,scenario_coverage_semantics,entitlement_preserved
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,18,5,5,1,0,0.72,13.0,"[""OF-311882fce98aca90bae5f40e""]",[],advance_protocol_selected_family_to_preregistration_review,"A Pareto family lies within one frozen stress cell of maximum group coverage, reaches majority coverage, and is lexicographically preferred.",fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.8,14,3,3,1,0,0.56,16.0,"[""OF-f4d6170f6448c54b7802cf9d""]",[],advance_protocol_selected_family_to_preregistration_review,"A Pareto family lies within one frozen stress cell of maximum group coverage, reaches majority coverage, and is lexicographically preferred.",fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.9,10,1,1,0,1,0.4,20.0,[],"[""OF-a2ed80d5454aca252ccbdac3""]",hold_low_coverage_family_for_design_review,The deterministic near-maximum family is retained as a hold because the address-target maximum remains below majority stress-grid coverage.,fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,0.5,0,0,0,0,0,0.0,,[],[],no_operational_family_from_obs086a_sealed_set,OBS-086a produced no sealed scenario-conditioned allocation for this address-target.,fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,0.8,0,0,0,0,0,0.0,,[],[],no_operational_family_from_obs086a_sealed_set,OBS-086a produced no sealed scenario-conditioned allocation for this address-target.,fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,0.9,0,0,0,0,0,0.0,,[],[],no_operational_family_from_obs086a_sealed_set,OBS-086a produced no sealed scenario-conditioned allocation for this address-target.,fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,0.5,0,0,0,0,0,0.0,,[],[],no_operational_family_from_obs086a_sealed_set,OBS-086a produced no sealed scenario-conditioned allocation for this address-target.,fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,0.8,0,0,0,0,0,0.0,,[],[],no_operational_family_from_obs086a_sealed_set,OBS-086a produced no sealed scenario-conditioned allocation for this address-target.,fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,0.9,0,0,0,0,0,0.0,,[],[],no_operational_family_from_obs086a_sealed_set,OBS-086a produced no sealed scenario-conditioned allocation for this address-target.,fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,0.5,0,0,0,0,0,0.0,,[],[],no_operational_family_from_obs086a_sealed_set,OBS-086a produced no sealed scenario-conditioned allocation for this address-target.,fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,0.8,0,0,0,0,0,0.0,,[],[],no_operational_family_from_obs086a_sealed_set,OBS-086a produced no sealed scenario-conditioned allocation for this address-target.,fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,0.9,0,0,0,0,0,0.0,,[],[],no_operational_family_from_obs086a_sealed_set,OBS-086a produced no sealed scenario-conditioned allocation for this address-target.,fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,0.5,0,0,0,0,0,0.0,,[],[],no_operational_family_from_obs086a_sealed_set,OBS-086a produced no sealed scenario-conditioned allocation for this address-target.,fraction of 25 frozen stress-test cells; not a probability over real campaigns,True
