relation_id,task,feature_contract,carrier_role,contract_family,contract_name,score,threshold,margin,status,failure_type
three_way__stability_core_3,three_way,stability_core_3,compact_core_carrier,structural_resampling,object_bootstrap,0.8698451062134624,0.8,0.0698451062134624,pass_with_lower_tail,object_support_sensitivity
three_way__stability_core_3,three_way,stability_core_3,compact_core_carrier,structural_resampling,object_transition_bootstrap,0.8700834705891707,0.8,0.07008347058917064,pass_with_lower_tail,object_support_sensitivity
three_way__stability_core_3,three_way,stability_core_3,compact_core_carrier,structural_resampling,cohort_bootstrap,0.8721183997217519,0.8,0.07211839972175182,pass_with_lower_tail,cohort_support_sensitivity
three_way__stability_core_3,three_way,stability_core_3,compact_core_carrier,structural_resampling,transition_bootstrap,0.8747325474073827,0.8,0.07473254740738267,pass_with_lower_tail,transition_support_sensitivity
three_way__path_shares_only,three_way,path_shares_only,path_support_carrier,feature_family,path_shares_only,0.7964646464646465,0.8,-0.0035353535353535026,borderline,feature_projection_sensitivity
three_way__path_shares_only,three_way,path_shares_only,path_support_carrier,structural_resampling,object_cohort_bootstrap,0.8145099879202286,0.8,0.014509987920228506,pass_with_lower_tail,object_support_sensitivity
three_way__path_shares_only,three_way,path_shares_only,path_support_carrier,structural_resampling,cohort_bootstrap,0.8153686791581206,0.8,0.015368679158120568,pass_with_lower_tail,cohort_support_sensitivity
three_way__path_shares_only,three_way,path_shares_only,path_support_carrier,structural_resampling,transition_bootstrap,0.8186547821071676,0.8,0.018654782107167533,pass_with_lower_tail,transition_support_sensitivity
three_way__path_shares_only,three_way,path_shares_only,path_support_carrier,structural_resampling,row_bootstrap,0.8187773723525366,0.8,0.018777372352536514,pass_with_lower_tail,structural_recomposition_sensitivity
three_way__path_shares_only,three_way,path_shares_only,path_support_carrier,structural_resampling,object_transition_bootstrap,0.8193810514405068,0.8,0.019381051440506725,pass_with_lower_tail,object_support_sensitivity
three_way__path_shares_only,three_way,path_shares_only,path_support_carrier,structural_resampling,object_bootstrap,0.8300233397538401,0.8,0.030023339753840084,pass_with_lower_tail,object_support_sensitivity
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,path_support_carrier,structural_resampling,cohort_bootstrap,0.8922018878903845,0.9,-0.0077981121096155626,borderline,cohort_support_sensitivity
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,path_support_carrier,structural_resampling,object_cohort_bootstrap,0.8940692029459079,0.9,-0.005930797054092163,borderline,object_support_sensitivity
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,path_support_carrier,structural_resampling,row_bootstrap,0.8952651386756445,0.9,-0.0047348613243555215,borderline,structural_recomposition_sensitivity
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,path_support_carrier,structural_resampling,transition_bootstrap,0.8995399507787655,0.9,-0.0004600492212345486,borderline,transition_support_sensitivity
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,path_support_carrier,structural_resampling,object_transition_bootstrap,0.9020130197342556,0.9,0.0020130197342556055,pass_with_lower_tail,object_support_sensitivity
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,path_support_carrier,structural_resampling,object_bootstrap,0.910318197819294,0.9,0.010318197819293995,pass_with_lower_tail,object_support_sensitivity
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,geometry_sharpening_carrier,structural_resampling,cohort_bootstrap,0.9178896888842532,0.9,0.01788968888425313,pass_with_lower_tail,cohort_support_sensitivity
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,geometry_sharpening_carrier,structural_resampling,row_bootstrap,0.9215308601334078,0.9,0.02153086013340777,pass_with_lower_tail,structural_recomposition_sensitivity
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,geometry_sharpening_carrier,structural_resampling,object_cohort_bootstrap,0.9236013681949032,0.9,0.023601368194903216,pass_with_lower_tail,object_support_sensitivity
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,geometry_sharpening_carrier,structural_resampling,object_bootstrap,0.9665816553422256,0.9,0.0665816553422256,pass_with_lower_tail,object_support_sensitivity
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,geometry_sharpening_carrier,structural_resampling,transition_bootstrap,0.9700737876210344,0.9,0.07007378762103433,pass_with_lower_tail,transition_support_sensitivity
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_support_carrier,feature_family,path_shares_only,0.8794534763057765,0.9,-0.020546523694223495,borderline,feature_projection_sensitivity
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_support_carrier,structural_resampling,cohort_bootstrap,0.910186306673459,0.9,0.010186306673458989,pass_with_lower_tail,cohort_support_sensitivity
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_support_carrier,structural_resampling,object_cohort_bootstrap,0.9117142764669892,0.9,0.011714276466989193,pass_with_lower_tail,object_support_sensitivity
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_support_carrier,structural_resampling,row_bootstrap,0.9126761491239136,0.9,0.012676149123913572,pass_with_lower_tail,structural_recomposition_sensitivity
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_support_carrier,structural_resampling,object_transition_bootstrap,0.9154712451771532,0.9,0.015471245177153148,pass_with_lower_tail,object_support_sensitivity
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_support_carrier,structural_resampling,transition_bootstrap,0.9198630987054636,0.9,0.019863098705463544,pass_with_lower_tail,transition_support_sensitivity
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_support_carrier,structural_resampling,object_bootstrap,0.9211962905846312,0.9,0.021196290584631128,pass_with_lower_tail,object_support_sensitivity
